,0
Total Return,0.20850031043630457
CAGR,0.6194047363273603
Sharpe Ratio,1.681535790006287
Max Drawdown,-0.10618344362154375
Volatility,0.30176964616376234
Win Rate,0.5858585858585859
Average Win,0.013627891276692203
Average Loss,-0.014224646663211878
Profit Factor,1.3552871153204962
